VICTIMAS,AÑO,MES,provincia,GÉNERO,RANGO DE EDAD,TIPO DE ARMA UTILIZADA
Homicidio,2023,Noviembre,Panamá,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá,Masculino,Sin Determinar,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá,Masculino,Sin Determinar,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá,Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Noviembre,Darién,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Noviembre,Chiriquí,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Noviembre,Chiriquí,Masculino,45-49 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá Oeste,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá Oeste,Masculino,60-64 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá Oeste,Masculino,50-54 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá Oeste,Femenino,80 y más años,Arma Blanca
Homicidio,2023,Noviembre,Panamá Oeste,Masculino,45-49 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá Oeste,Masculino,35-39 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá Oeste,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá Oeste,Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Noviembre,Coclé,Femenino,25-29 años,Asfixia Mecánica
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,40-44 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,35-39 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,45-49 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Noviembre,Panamá (San Miguelito),Femenino,55-59 años,Arma de Fuego 
Homicidio,2023,Noviembre,Colón ,Femenino,10-14 años,Arma de Fuego 
Homicidio,2023,Noviembre,Bocas Del Toro,Masculino,Sin Determinar,Sin Determinar
Homicidio,2023,Diciembre,Coclé,Masculino,75-79 años,Sin Determinar
Homicidio,2023,Diciembre,Herrera,Masculino,45-49 años,Arma de Fuego 
Homicidio,2023,Diciembre,Coclé,Masculino,50-54 años,Golpes
Homicidio,2023,Diciembre,Colón ,Masculino,15-17 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Masculino,15-17 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Masculino,15-17 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Colón ,Femenino,30-34 años,Arma de Fuego 
Homicidio,2023,Diciembre,Los Santos,Masculino,60-64 años,Arma de Fuego 
Homicidio,2023,Diciembre,Los Santos,Masculino,35-39 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá Oeste,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá Oeste,Masculino,80 y más años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá Oeste,Masculino,15-17 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá Oeste,Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá Oeste,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá Oeste,Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá Oeste,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá Oeste,Masculino,15-17 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá Oeste,Masculino,15-17 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá Oeste,Sin Determinar,Sin Determinar,Arma de Fuego 
Homicidio,2023,Diciembre,Chiriquí,Masculino,40-44 años,Arma de Fuego 
Homicidio,2023,Diciembre,Chiriquí,Masculino,50-54 años,Sin Determinar
Homicidio,2023,Diciembre,Chiriquí,Masculino,Sin Determinar,Sin Determinar
Homicidio,2023,Diciembre,Panamá,Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,35-39 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,55-59 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Femenino,35-39 años,Arma Blanca
Homicidio,2023,Diciembre,Panamá,Masculino,10-14 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Femenino,40-44 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,40-44 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,40-44 años,Arma Blanca
Homicidio,2023,Diciembre,Panamá,Masculino,40-44 años,Arma Blanca
Homicidio,2023,Diciembre,Panamá,Masculino,45-49 años,Golpes
Homicidio,2023,Diciembre,Panamá,Masculino,45-49 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,40-44 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,18-24 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá (San Miguelito),Masculino,25-29 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá (San Miguelito),Masculino,Sin Determinar,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá (San Miguelito),Masculino,Sin Determinar,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá (San Miguelito),Masculino,18-24 años,Sin Determinar
Homicidio,2023,Diciembre,Panamá (San Miguelito),Masculino,10-14 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá (San Miguelito),Masculino,30-34 años,Arma de Fuego 
Homicidio,2023,Diciembre,Panamá,Masculino,18-24 años,Arma de Fuego 
